,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 281,0.37836763,0.16821471,0.3161038,0.05808068,0.079233184
Enemy 282,0.5275849,0.010544407,0.046144966,0.12226671,0.29345903
Enemy 283,0.3711426,0.13154013,0.27654144,0.092394255,0.12838152
Enemy 284,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 285,0.52406335,0.010681569,0.04659719,0.12352584,0.295132
Enemy 286,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 287,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 288,0.37491506,0.18716858,0.33213764,0.044986244,0.06079248
Enemy 289,0.37750214,0.17553207,0.32263583,0.05270048,0.07162953
Enemy 290,0.37243953,0.1918445,0.32926214,0.04520414,0.06124969
Enemy 291,0.44502985,0.15890391,0.2976797,0.039980806,0.058405615
Enemy 292,0.52757865,0.010544652,0.04614577,0.12226896,0.29346204
Enemy 293,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 294,0.3751549,0.18631458,0.3314761,0.045517653,0.061536666
Enemy 295,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 296,0.39900997,0.17706807,0.3203459,0.043361302,0.060214788
Enemy 297,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 298,0.77906305,0.049134456,0.12183682,0.015684472,0.034281258
Enemy 299,0.3749151,0.18716846,0.3321376,0.04498629,0.060792543
Enemy 300,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 301,0.1981223,0.030917265,0.097056024,0.2707974,0.40310702
Enemy 302,0.36023384,0.11463724,0.25419807,0.112807564,0.15812331
Enemy 303,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 304,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 305,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 306,0.4314934,0.014709535,0.059049305,0.1585727,0.33617508
Enemy 307,0.3558334,0.109532624,0.24690907,0.11961121,0.1681137
Enemy 308,0.24768482,0.4326721,0.20197931,0.047005836,0.07065794
Enemy 309,0.37514377,0.1870724,0.33202735,0.044970028,0.06078645
Enemy 310,0.48981392,0.0120732775,0.05107479,0.13604414,0.3109939
Enemy 311,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 312,0.19637178,0.03109978,0.09739632,0.27184772,0.40328443
Enemy 313,0.37497503,0.18695787,0.331975,0.045116875,0.060975373
Enemy 314,0.19660473,0.031075403,0.09735096,0.27170762,0.40326127
Enemy 315,0.7590121,0.053907137,0.13179037,0.017713808,0.03757659
Enemy 316,0.30030665,0.069685325,0.18065757,0.18430054,0.26504996
Enemy 317,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 318,0.37831008,0.16841304,0.3162918,0.05794636,0.07903872
Enemy 319,0.3749284,0.18716294,0.33213127,0.044985306,0.060792137
Enemy 320,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 321,0.37491515,0.18716836,0.33213753,0.04498634,0.060792625
Enemy 322,0.5275849,0.010544407,0.046144966,0.12226671,0.29345903
Enemy 323,0.37849542,0.16273306,0.31093222,0.062435858,0.085403495
Enemy 324,0.19709271,0.031301066,0.097895004,0.27131483,0.40239644
Enemy 325,0.5254113,0.01062894,0.04642391,0.12304326,0.2944925
Enemy 326,0.19636066,0.031101009,0.09739864,0.27185437,0.40328535
Enemy 327,0.527585,0.010544412,0.046144973,0.12226667,0.29345894
Enemy 328,0.37741,0.17610832,0.32313144,0.052293826,0.07105646
Enemy 329,0.20399751,0.033222012,0.10261898,0.26618227,0.3939792
Enemy 330,0.3773034,0.17674656,0.32367727,0.051846486,0.07042631
Enemy 331,0.3749151,0.18716846,0.3321376,0.04498627,0.060792513
Enemy 332,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 333,0.37745482,0.17583106,0.32289323,0.05248915,0.071331695
Enemy 334,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 335,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 336,0.19649826,0.031086534,0.09737167,0.27177164,0.40327185
Enemy 337,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 338,0.2887988,0.023110922,0.080821216,0.22174597,0.3855231
Enemy 339,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 340,0.5275849,0.010544407,0.046144966,0.12226671,0.29345903
Enemy 341,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 342,0.33911884,0.094142206,0.22334516,0.14205399,0.20133972
Enemy 343,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 344,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 345,0.34426746,0.09838435,0.23008323,0.135569,0.19169596
Enemy 346,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
