,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 281,0.40287018,0.0810713,0.3369949,0.075227,0.10383671
Enemy 282,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 283,0.39432094,0.07169221,0.29338655,0.09549821,0.145102
Enemy 284,0.37534857,0.33300427,0.21881424,0.026954338,0.04587858
Enemy 285,0.29584268,0.038775712,0.15028404,0.16794047,0.34715715
Enemy 286,0.40314287,0.08708233,0.36595225,0.06278191,0.081040666
Enemy 287,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 288,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 289,0.40333238,0.08254677,0.34402165,0.07212384,0.09797534
Enemy 290,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 291,0.37592167,0.3276508,0.21994865,0.028527448,0.047951404
Enemy 292,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 293,0.40314466,0.087086916,0.36594826,0.06278052,0.08103964
Enemy 294,0.40327966,0.08660783,0.3636331,0.06374394,0.08273544
Enemy 295,0.37535203,0.3329942,0.21881893,0.026955165,0.04587964
Enemy 296,0.40320665,0.08687307,0.3649287,0.06320572,0.08178587
Enemy 297,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 298,0.40316162,0.08701978,0.36564857,0.06290816,0.081261806
Enemy 299,0.40314287,0.08708229,0.36595207,0.062781975,0.08104078
Enemy 300,0.29676092,0.03882609,0.15103772,0.16698936,0.346386
Enemy 301,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 302,0.37958556,0.06355243,0.25679553,0.11354741,0.18651901
Enemy 303,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 304,0.403143,0.08708262,0.365952,0.06278183,0.081040606
Enemy 305,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 306,0.295102,0.038734782,0.14967808,0.16870897,0.34777626
Enemy 307,0.38296813,0.065140836,0.2638556,0.11001024,0.17802514
Enemy 308,0.37534857,0.3330043,0.21881424,0.026954338,0.04587858
Enemy 309,0.37535313,0.33296552,0.21882266,0.026965426,0.045893297
Enemy 310,0.1902205,0.03059106,0.077839136,0.29271492,0.40863436
Enemy 311,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 312,0.29676092,0.03882609,0.15103772,0.16698936,0.346386
Enemy 313,0.4031719,0.086989336,0.36549726,0.06297014,0.08137138
Enemy 314,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 315,0.403514,0.08366289,0.34937084,0.0697961,0.09365609
Enemy 316,0.34805664,0.05205195,0.20670035,0.13904352,0.25414753
Enemy 317,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 318,0.40101406,0.0778615,0.32187417,0.08206918,0.11718106
Enemy 319,0.3811757,0.31556982,0.22708242,0.028431162,0.047741
Enemy 320,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 321,0.40314302,0.08708249,0.3659515,0.062782034,0.08104095
Enemy 322,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 323,0.4021543,0.07958614,0.3299712,0.07837819,0.10991018
Enemy 324,0.29716337,0.038915657,0.15140827,0.16680977,0.34570292
Enemy 325,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 326,0.2967611,0.038826134,0.1510379,0.16698922,0.34638557
Enemy 327,0.29676092,0.038826082,0.15103774,0.16698934,0.34638593
Enemy 328,0.40351924,0.08371819,0.34963664,0.06968126,0.09344471
Enemy 329,0.30051655,0.039668676,0.15452696,0.16529308,0.33999476
Enemy 330,0.4035094,0.083616674,0.34914875,0.06989214,0.09383297
Enemy 331,0.40314287,0.08708229,0.36595207,0.062781975,0.08104078
Enemy 332,0.37534857,0.33300424,0.21881424,0.026954351,0.045878593
Enemy 333,0.40219927,0.07966621,0.33034867,0.078207634,0.10957832
Enemy 334,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 335,0.29676092,0.03882609,0.15103772,0.16698936,0.346386
Enemy 336,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 337,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 338,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 339,0.40314287,0.08708233,0.36595225,0.06278191,0.081040666
Enemy 340,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 341,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 342,0.37645802,0.06217503,0.2507028,0.11661636,0.19404782
Enemy 343,0.3997433,0.25037542,0.2599078,0.034739625,0.055233847
Enemy 344,0.29664838,0.03881994,0.1509452,0.16710582,0.3464807
Enemy 345,0.3749028,0.061517913,0.24780554,0.11808045,0.19769324
Enemy 346,0.37550765,0.3325406,0.21903169,0.026992617,0.045927398
Enemy 347,0.29163712,0.038539898,0.14686637,0.17231975,0.3506368
Enemy 348,0.4032807,0.082331724,0.3429944,0.072574355,0.09881893
Enemy 349,0.19020961,0.03058998,0.07783286,0.2927298,0.4086378
Enemy 350,0.40355375,0.08448325,0.35332158,0.06809674,0.09054465
Enemy 351,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 352,0.3803428,0.063898385,0.25833005,0.112776786,0.18465196
Enemy 353,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 354,0.40328866,0.08657291,0.36346272,0.0638149,0.08286091
Enemy 355,0.18891552,0.030271452,0.07736108,0.29403558,0.40941635
Enemy 356,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 357,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 358,0.22963393,0.03417132,0.10200309,0.24203464,0.39215705
Enemy 359,0.1902096,0.03058998,0.07783286,0.2927298,0.4086378
Enemy 360,0.31219843,0.042393383,0.165862,0.15971068,0.31983548
Enemy 361,0.40348294,0.08556393,0.35855216,0.06587359,0.08652734
Enemy 362,0.40314317,0.08708141,0.36594775,0.06278376,0.08104393
Enemy 363,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 364,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 365,0.34905547,0.052358687,0.2080148,0.13837133,0.25219968
Enemy 366,0.40280542,0.08091224,0.33624032,0.07556319,0.1044788
Enemy 367,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 368,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 369,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 370,0.1902097,0.030589985,0.07783292,0.29272962,0.40863773
Enemy 371,0.28714412,0.03667384,0.1468754,0.1741616,0.35514504
Enemy 372,0.40008578,0.07672638,0.31657803,0.0845155,0.12209433
Enemy 373,0.4033772,0.086189665,0.36159435,0.06459492,0.084243976
Enemy 374,0.37535176,0.33299503,0.21881858,0.026955094,0.045879543
Enemy 375,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 376,0.29676092,0.03882609,0.15103772,0.16698936,0.346386
Enemy 377,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 378,0.2992416,0.03938092,0.15333448,0.16587408,0.3421689
Enemy 379,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 380,0.40268007,0.08062244,0.33486703,0.07617654,0.105653875
Enemy 381,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 382,0.39029482,0.06907485,0.2815057,0.10127492,0.15784974
Enemy 383,0.40313923,0.08186965,0.34082994,0.07353991,0.10062129
Enemy 384,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 385,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 386,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 387,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 388,0.1902096,0.03058998,0.07783285,0.29272985,0.4086378
Enemy 389,0.40355074,0.08470184,0.3543774,0.06764555,0.08972441
Enemy 390,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 391,0.29683763,0.038843155,0.1511083,0.16695513,0.34625578
Enemy 392,0.37534857,0.3330043,0.21881424,0.026954327,0.04587858
Enemy 393,0.29184315,0.038551647,0.1470325,0.17210433,0.35046834
Enemy 394,0.29676092,0.03882609,0.15103772,0.16698936,0.346386
