,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 281,0.39340013,0.16599056,0.28894848,0.049144167,0.10251665
Enemy 282,0.24163863,0.04567383,0.15451656,0.3656458,0.19252516
Enemy 283,0.39135262,0.13661492,0.24275543,0.07160177,0.15767534
Enemy 284,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 285,0.24266599,0.045432523,0.06664084,0.26665136,0.37860927
Enemy 286,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 287,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 288,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 289,0.39369982,0.16245994,0.28475076,0.050962828,0.10812669
Enemy 290,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 291,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 292,0.24266595,0.045432504,0.0666408,0.2666515,0.37860927
Enemy 293,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 294,0.38555187,0.19141482,0.31756014,0.036978576,0.068494536
Enemy 295,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 296,0.39076203,0.17823711,0.3032413,0.042998996,0.08476061
Enemy 297,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 298,0.3824257,0.19742788,0.32375425,0.034427192,0.06196494
Enemy 299,0.381156,0.19966197,0.3259953,0.03351284,0.059673876
Enemy 300,0.24266599,0.04543252,0.066640824,0.26665133,0.3786093
Enemy 301,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 302,0.36048076,0.09977204,0.19690466,0.08917863,0.25366393
Enemy 303,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 304,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 305,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 306,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 307,0.37821624,0.11679546,0.21915749,0.08131319,0.20451756
Enemy 308,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 309,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 310,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 311,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 312,0.3098009,0.06874159,0.14474104,0.10988526,0.3668312
Enemy 313,0.3817133,0.19869317,0.32502803,0.033906925,0.060658485
Enemy 314,0.24266401,0.04543248,0.06664257,0.26664388,0.378617
Enemy 315,0.35498607,0.095431104,0.18998711,0.092053406,0.26754227
Enemy 316,0.34048355,0.085439004,0.17335153,0.09903629,0.30168965
Enemy 317,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 318,0.37727588,0.1163736,0.22240247,0.07828228,0.20566565
Enemy 319,0.38115188,0.19966245,0.32600325,0.03351023,0.0596722
Enemy 320,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 321,0.38115364,0.19966109,0.32600045,0.0335111,0.059673645
Enemy 322,0.24266809,0.045432944,0.06664586,0.26666066,0.37859246
Enemy 323,0.39457193,0.15846774,0.27734998,0.05443314,0.11517721
Enemy 324,0.31008244,0.06887769,0.14510229,0.10960493,0.36633268
Enemy 325,0.24265748,0.045433056,0.066659905,0.26661903,0.37863058
Enemy 326,0.25820014,0.04986514,0.07813759,0.23075561,0.38304153
Enemy 327,0.30990332,0.06879259,0.14497519,0.10962127,0.3667076
Enemy 328,0.39352238,0.17954747,0.29630694,0.046099726,0.08452347
Enemy 329,0.3116284,0.06962059,0.14643803,0.109095335,0.36321768
Enemy 330,0.39166874,0.17620663,0.3000922,0.044354524,0.08767796
Enemy 331,0.38115317,0.19966187,0.3260014,0.033510733,0.059672847
Enemy 332,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 333,0.36870942,0.10711511,0.20838778,0.084312424,0.23147531
Enemy 334,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 335,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 336,0.24266541,0.0454325,0.06664127,0.26664943,0.3786114
Enemy 337,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 338,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 339,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 340,0.24267183,0.045433704,0.06665464,0.2666765,0.37856328
Enemy 341,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 342,0.37484235,0.11086955,0.18803202,0.109480485,0.2167756
Enemy 343,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 344,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 345,0.36860508,0.10685046,0.20664993,0.08574688,0.23214768
Enemy 346,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 347,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 348,0.37898058,0.11851329,0.22557048,0.07690712,0.2000285
Enemy 349,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
