,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 281,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 282,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 283,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 284,0.28409988,0.3634049,0.16834702,0.07363781,0.11051052
Enemy 285,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 286,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 287,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 288,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 289,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 290,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 291,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 292,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 293,0.33587644,0.048960872,0.20297492,0.16014336,0.25204438
Enemy 294,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 295,0.28444132,0.36242178,0.16855529,0.073807254,0.11077429
Enemy 296,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 297,0.28409907,0.363407,0.16834654,0.07363744,0.11050993
Enemy 298,0.33587626,0.048960462,0.20297481,0.16014364,0.25204486
Enemy 299,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 300,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 301,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 302,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 303,0.28409913,0.363407,0.16834657,0.07363746,0.110509954
Enemy 304,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 305,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 306,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 307,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 308,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 309,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 310,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 311,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 312,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 313,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 314,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 315,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 316,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 317,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 318,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 319,0.29999557,0.3160703,0.1780783,0.08210841,0.12374743
Enemy 320,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 321,0.33587623,0.04896041,0.20297481,0.16014366,0.25204492
Enemy 322,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 323,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 324,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 325,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 326,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 327,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 328,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 329,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 330,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 331,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 332,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 333,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 334,0.28409907,0.36340702,0.16834652,0.07363743,0.11050992
Enemy 335,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 336,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 337,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 338,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 339,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 340,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 341,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 342,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 343,0.3359308,0.049076047,0.20300375,0.16007097,0.25191838
Enemy 344,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 345,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 346,0.28606227,0.35773772,0.16954449,0.07461822,0.11203731
Enemy 347,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 348,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 349,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 350,0.33587623,0.048960388,0.20297481,0.16014369,0.25204495
Enemy 351,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 352,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 353,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 354,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 355,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 356,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 357,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 358,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 359,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 360,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 361,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 362,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 363,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 364,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 365,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 366,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 367,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 368,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 369,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 370,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 371,0.33587623,0.048960432,0.20297481,0.16014364,0.2520449
Enemy 372,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 373,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 374,0.28419042,0.36314425,0.16840222,0.0736827,0.11058039
Enemy 375,0.28409907,0.363407,0.16834654,0.07363744,0.11050993
Enemy 376,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 377,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 378,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 379,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 380,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 381,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 382,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 383,0.33587682,0.04896171,0.20297514,0.16014284,0.2520435
Enemy 384,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 385,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 386,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 387,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 388,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 389,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 390,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 391,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 392,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 393,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 394,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 395,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 396,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 397,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 398,0.28409904,0.36340702,0.16834652,0.07363743,0.11050991
Enemy 399,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
Enemy 400,0.3358762,0.048960373,0.2029748,0.16014367,0.25204495
